state,price,condition,cylinders,fuel,manufacturer,drive,year,title_status,odometer,paint_color,lat,long,lat_clean,long_clean,cluster_gmm_auto_input
nv,26590,good,,other,mercedes-benz,,2013,clean,63089.0,black,36.17,-115.12,38.313515,-117.055374,9
id,22995,excellent,6 cylinders,gas,ford,4wd,2013,clean,130845.0,white,43.681,-111.907,44.240459,-114.478828,6
ok,19999,like new,6 cylinders,gas,dodge,fwd,2018,clean,40400.0,red,3620551.0,-95.712437,35.565342,-96.928917,0
il,8295,,,gas,chevrolet,,2010,clean,136205.0,,39.7622,-89.6275,40.349457,-88.986137,1
ca,10995,excellent,6 cylinders,gas,nissan,fwd,2013,clean,100774.0,silver,39.145315,-121.59608,36.116203,-119.681564,13
va,5600,excellent,4 cylinders,gas,honda,fwd,1997,clean,109339.0,green,37.1222,-79.2911,37.769337,-78.169968,6
or,39999,,6 cylinders,diesel,ram,4wd,2007,clean,85134.0,,47.81247,-122.32164,44.572021,-122.070938,12
hi,26500,like new,6 cylinders,gas,jeep,4wd,2013,clean,77000.0,black,21.299,-157.8259,21.094318,-157.498337,8
ca,14777,excellent,,gas,volvo,fwd,2015,clean,118247.0,,35.283445,-120.658029,36.116203,-119.681564,13
az,10600,excellent,4 cylinders,gas,chevrolet,,2015,clean,87865.0,red,33.4026,-111.7242,33.729759,-111.431221,11
ca,17990,good,,hybrid,ford,fwd,2017,clean,37880.0,white,340921.0,-118.10252,36.116203,-119.681564,10
ny,7995,excellent,4 cylinders,gas,honda,fwd,2010,clean,149761.0,black,42.9722,-76.2276,42.165726,-74.948051,4
va,4297,excellent,4 cylinders,gas,ford,fwd,2006,clean,174291.0,red,36.816064,-76.277758,37.769337,-78.169968,6
in,23995,,6 cylinders,gas,ram,fwd,2014,clean,144076.0,white,41.60201,-83.786937,39.849426,-86.258278,10
ma,30895,like new,6 cylinders,gas,honda,4wd,2017,clean,43285.0,silver,42617.0,-71.3396,42.230171,-71.530106,0
or,9995,excellent,4 cylinders,gas,subaru,4wd,2012,clean,91603.0,black,45.48814,-122.579537,44.572021,-122.070938,14
nm,34990,good,6 cylinders,gas,mercedes-benz,rwd,2018,clean,30120.0,white,35.11,-106.62,34.840515,-106.248482,10
il,14595,,,gas,gmc,,2015,clean,50546.0,,39.7622,-89.6275,40.349457,-88.986137,1
md,35590,good,8 cylinders,gas,dodge,rwd,2011,clean,16796.0,green,38.82,-778.0,39.063946,-76.802101,6
